Periodo,Hombre,Mujer
2007-Dic,679118,476753
2008-Jun,665939,464760
2008-Dic,549097,408881
2009-Dic,636204,435411
2010-Jun,596889,444377
2010-Dic,550026,339229
2011-Jun,470628,310897
2011-Dic,428949,277509
2012-Jun,400104,264878
2012-Dic,349831,254059
2013-Jun,489132,328994
2013-Dic,490630,318640
2014-Mar,567672,322688
2014-Jun,532653,319286
2014-Sep,578626,315078
2014-Dic,550060,375714
2015-Mar,596667,389030
2015-Jun,593873,383913
2015-Sep,668351,453637
2015-Dic,621028,429618
2016-Mar,795506,552725
2016-Jun,757352,520365
2016-Sep,915215,645127
2016-Dic,935989,628836
2017-Mar,1046955,679074
2017-Jun,1003556,665021
2017-Sep,966904,712954
2017-Dic,932908,670002
2018-Mar,921488,576651
2018-Jun,953103,591270
2018-Sep,960588,645296
2018-Dic,805920,517804
2019-Mar,973124,550993
2019-Jun,1001520,665758
2019-Sep,1006512,642835
2019-Dic,893779,547204
2020-Sep,1182327,767498
2020-Dic,1165174,682457
2021-Ene,1180210,700241
2021-Feb,1253564,669836
2021-Mar,1205517,647975
2021-Abr,1194094,747766
2021-May,1239782,730695
2021-Jun,1205167,712224
2021-Jul,1255730,779376
