date,Value
2007-Dic,476753
2008-Jun,464760
2008-Dic,408881
2009-Dic,435411
2010-Jun,444377
2010-Dic,339229
2011-Jun,310897
2011-Dic,277509
2012-Jun,264878
2012-Dic,254059
2013-Jun,328994
2013-Dic,318640
2014-Mar,322688
2014-Jun,319286
2014-Sep,315078
2014-Dic,375714
2015-Mar,389030
2015-Jun,383913
2015-Sep,453637
2015-Dic,429618
2016-Mar,552725
2016-Jun,520365
2016-Sep,645127
2016-Dic,628836
2017-Mar,679074
2017-Jun,665021
2017-Sep,712954
2017-Dic,670002
2018-Mar,576651
2018-Jun,591270
2018-Sep,645296
2018-Dic,517804
2019-Mar,550993
2019-Jun,665758
2019-Sep,642835
2019-Dic,547204
2020-Sep,767498
2020-Dic,682457
2021-Ene,700241
2021-Feb,669836
2021-Mar,647975
2021-Abr,747766
2021-May,730695
2021-Jun,712224
2021-Jul,779376
