date,Value
2007-Dic,2.02
2008-Jun,1.97
2008-Dic,1.74
2009-Dic,1.85
2010-Jun,1.89
2010-Dic,1.44
2011-Jun,1.32
2011-Dic,1.18
2012-Jun,1.12
2012-Dic,1.08
2013-Jun,1.40
2013-Dic,1.35
2014-Mar,1.37
2014-Jun,1.36
2014-Sep,1.34
2014-Dic,1.59
2015-Mar,1.65
2015-Jun,1.63
2015-Sep,1.93
2015-Dic,1.82
2016-Mar,2.35
2016-Jun,2.21
2016-Sep,2.74
2016-Dic,2.67
2017-Mar,2.88
2017-Jun,2.82
2017-Sep,3.03
2017-Dic,2.84
2018-Mar,2.45
2018-Jun,2.51
2018-Sep,2.74
2018-Dic,2.20
2019-Mar,2.34
2019-Jun,2.83
2019-Sep,2.73
2019-Dic,2.32
2020-Sep,3.26
2020-Dic,2.90
2021-Ene,2.97
2021-Feb,2.84
2021-Mar,2.75
2021-Abr,3.17
2021-May,3.10
2021-Jun,3.02
2021-Jul,3.31
