Periodo,Total
01-12-07,1155872
01-06-08,1130699
01-12-08,957978
01-12-09,1071615
01-06-10,1041266
01-12-10,889255
01-06-11,781525
01-12-11,706458
01-06-12,664982
01-12-12,603890
01-06-13,818126
01-12-13,809269
01-03-14,890360
01-06-14,851939
01-09-14,893705
01-12-14,925774
01-03-15,985698
01-06-15,977785
01-09-15,1121988
01-12-15,1050646
01-03-16,1348231
01-06-16,1277717
01-09-16,1560342
01-12-16,1564825
01-03-17,1726030
01-06-17,1668577
01-09-17,1679858
01-12-17,1602909
01-03-18,1498139
01-06-18,1544373
01-09-18,1605884
01-12-18,1323724
01-03-19,1524118
01-06-19,1667278
01-09-19,1649346
01-12-19,1440983
01-09-20,1949825
01-12-20,1847631
01-01-21,1880451
01-02-21,1923400
01-03-21,1853492
01-04-21,1941860
01-05-21,1970477
01-06-21,1917390
01-07-21,2035106
