Periodo,Hombre,Mujer
1/12/2007,679118,476753
1/6/2008,665939,464760
1/12/2008,549097,408881
1/12/2009,636204,435411
1/6/2010,596889,444377
1/12/2010,550026,339229
1/6/2011,470628,310897
1/12/2011,428949,277509
1/6/2012,400104,264878
1/12/2012,349831,254059
1/6/2013,489132,328994
1/12/2013,490630,318640
1/3/2014,567672,322688
1/6/2014,532653,319286
1/9/2014,578626,315078
1/12/2014,550060,375714
1/3/2015,596667,389030
1/6/2015,593873,383913
1/9/2015,668351,453637
1/12/2015,621028,429618
1/3/2016,795506,552725
1/6/2016,757352,520365
1/9/2016,915215,645127
1/12/2016,935989,628836
1/3/2017,1046955,679074
1/6/2017,1003556,665021
1/9/2017,966904,712954
1/12/2017,932908,670002
1/3/2018,921488,576651
1/6/2018,953103,591270
1/9/2018,960588,645296
1/12/2018,805920,517804
1/3/2019,973124,550993
1/6/2019,1001520,665758
1/9/2019,1006512,642835
1/12/2019,893779,547204
1/9/2020,1182327,767498
1/12/2020,1165174,682457
1/1/2021,1180210,700241
1/2/2021,1253564,669836
1/3/2021,1205517,647975
1/4/2021,1194094,747766
1/5/2021,1239782,730695
1/6/2021,1205167,712224
1/7/2021,1255730,779376
