Periodo,Subempleo
01-12-07,476753
01-06-08,464760
01-12-08,408881
01-12-09,435411
01-06-10,444377
01-12-10,339229
01-06-11,310897
01-12-11,277509
01-06-12,264878
01-12-12,254059
01-06-13,328994
01-12-13,318640
01-03-14,322688
01-06-14,319286
01-09-14,315078
01-12-14,375714
01-03-15,389030
01-06-15,383913
01-09-15,453637
01-12-15,429618
01-03-16,552725
01-06-16,520365
01-09-16,645127
01-12-16,628836
01-03-17,679074
01-06-17,665021
01-09-17,712954
01-12-17,670002
01-03-18,576651
01-06-18,591270
01-09-18,645296
01-12-18,517804
01-03-19,550993
01-06-19,665758
01-09-19,642835
01-12-19,547204
01-09-20,767498
01-12-20,682457
01-01-21,700241
01-02-21,669836
01-03-21,647975
01-04-21,747766
01-05-21,730695
01-06-21,712224
01-07-21,779376
